"","lon","lat","x_utm","y_utm","SAND","SILT","CLAY","USDA_texture"
"13040",73.2364301893119,31.3340851526562,903188.294210175,3474388.12992954,41.1163404802824,34.6948997180112,24.1887598017063,"Lo"
"13041",73.2390509157007,31.333998471463,903438.294210175,3474388.12992954,41.2045888340331,34.5333839851894,24.2620271807776,"Lo"
"13042",73.2416716307697,31.3339117369752,903688.294210175,3474388.12992954,41.289916391905,34.3779552873141,24.332128320781,"Lo"
"13043",73.2442923345119,31.3338249491938,903938.294210175,3474388.12992954,41.3735262640389,34.2298674615103,24.3966062744508,"Lo"
"13044",73.2469130269205,31.3337381081194,904188.294210175,3474388.12992954,41.456694267411,34.0902028221534,24.4531029104356,"Lo"
"13045",73.2495337079884,31.333651213753,904438.294210175,3474388.12992954,41.5405651960655,33.9596464865498,24.4997883173847,"Lo"
"13046",73.2521543777088,31.3335642660953,904688.294210175,3474388.12992954,41.625946411649,33.8382651945834,24.5357883937676,"Lo"
"13047",73.2547750360747,31.3334772651471,904938.294210175,3474388.12992954,41.7131871579152,33.7253927194822,24.5614201226026,"Lo"
"13048",73.2573956830794,31.3333902109093,905188.294210175,3474388.12992954,41.8022001527495,33.6196902575407,24.5781095897098,"Lo"
"13049",73.2600163187157,31.3333031033827,905438.294210175,3474388.12992954,41.8926013485547,33.5193585680731,24.5880400833723,"Lo"
"13050",73.2626369429769,31.333215942568,905688.294210175,3474388.12992954,41.9838838877754,33.4224082211771,24.5937078910475,"Lo"
"13051",73.265257555856,31.333128728466,905938.294210175,3474388.12992954,42.0755474422057,33.3268981679785,24.5975543898158,"Lo"
"13052",73.2678781573461,31.3330414610777,906188.294210175,3474388.12992954,42.1671490274011,33.2311043957757,24.6017465768231,"Lo"
"13053",73.2704987474403,31.3329541404038,906438.294210175,3474388.12992954,42.258279883971,33.1336270242536,24.6080930917753,"Lo"
"13054",73.2731193261317,31.3328667664451,906688.294210175,3474388.12992954,42.3484870113781,33.0334640757869,24.6180489128349,"Lo"
"13055",73.2757398934133,31.3327793392024,906938.294210175,3474388.12992954,42.4371545860475,32.9300806099917,24.6327648039609,"Lo"
